timestamp,open,close,xbtusd_daily_change,EOSZ19_daily_btc,EOSZ19_daily_usd,EOSZ19_cumulative_btc
2019-10-19 00:00:00+00:00,8070.5,7951.0,-1.48,-1.07,-2.55,8.11
2019-10-22 00:00:00+00:00,8233.0,8204.5,-0.35,0.37,0.02,8.48
2019-10-23 00:00:00+00:00,8204.5,8019.0,-2.26,1.38,-0.88,9.86
2019-10-24 00:00:00+00:00,8019.0,7468.0,-6.87,0.7,-6.17,10.56
2019-10-25 00:00:00+00:00,7468.0,7424.0,-0.59,1.74,1.15,12.3
2019-10-29 00:00:00+00:00,9556.0,9226.0,-3.45,1.64,-1.81,13.94
2019-10-31 00:00:00+00:00,9438.0,9165.0,-2.89,-1.14,-4.03,12.8
2019-11-01 00:00:00+00:00,9165.0,9153.5,-0.13,0.31,0.18,13.11
2019-11-04 00:00:00+00:00,9313.5,9205.5,-1.16,-0.14,-1.3,12.97
2019-11-06 00:00:00+00:00,9426.5,9317.0,-1.16,6.23,5.07,19.2
2019-11-08 00:00:00+00:00,9347.0,9213.0,-1.43,-2.45,-3.88,16.75
2019-11-09 00:00:00+00:00,9213.0,8765.0,-4.86,3.58,-1.28,20.33
2019-11-12 00:00:00+00:00,9038.5,8717.5,-3.55,-0.96,-4.51,19.37
2019-11-14 00:00:00+00:00,8818.0,8764.0,-0.61,0.15,-0.46,19.52
2019-11-15 00:00:00+00:00,8764.0,8630.5,-1.52,-0.51,-2.03,19.01
2019-11-16 00:00:00+00:00,8630.5,8456.0,-2.02,0.0,-2.02,19.01
2019-11-19 00:00:00+00:00,8506.0,8173.5,-3.91,-2.76,-6.67,16.25
2019-11-20 00:00:00+00:00,8173.5,8123.0,-0.62,-1.16,-1.78,15.09
2019-11-21 00:00:00+00:00,8123.0,8080.0,-0.53,-1.05,-1.58,14.04
2019-11-22 00:00:00+00:00,8080.0,7614.0,-5.77,-2.38,-8.15,11.66
2019-11-23 00:00:00+00:00,7614.0,7275.5,-4.45,-2.68,-7.13,8.98
2019-11-25 00:00:00+00:00,7322.5,6902.5,-5.74,-4.73,-10.47,4.25
2019-11-29 00:00:00+00:00,7525.0,7424.5,-1.34,-1.29,-2.63,2.96
2019-12-01 00:00:00+00:00,7749.0,7549.5,-2.57,1.22,-1.35,4.18
2019-12-02 00:00:00+00:00,7549.5,7399.0,-1.99,3.03,1.04,7.21
2019-12-03 00:00:00+00:00,7399.0,7300.5,-1.33,-2.54,-3.87,4.67
2019-12-04 00:00:00+00:00,7300.5,7294.5,-0.08,1.1,1.02,5.77
2019-12-05 00:00:00+00:00,7294.5,7192.5,-1.4,-1.38,-2.78,4.39
2019-12-08 00:00:00+00:00,7538.5,7501.5,-0.49,0.3,-0.19,4.69
2019-12-10 00:00:00+00:00,7512.5,7332.5,-2.4,-1.42,-3.82,3.27
2019-12-11 00:00:00+00:00,7332.5,7218.0,-1.56,-0.36,-1.92,2.91
2019-12-12 00:00:00+00:00,7218.0,7196.5,-0.3,-0.5,-0.8,2.41
2019-12-13 00:00:00+00:00,7196.5,7187.0,-0.13,0.25,0.12,2.66
2019-12-15 00:00:00+00:00,7242.0,7060.5,-2.51,0.92,-1.59,3.58
2019-12-17 00:00:00+00:00,7107.5,6873.0,-3.3,-4.89,-8.19,-1.31
2019-12-18 00:00:00+00:00,6873.0,6611.5,-3.8,-3.8,-7.6,-5.11
2019-12-20 00:00:00+00:00,7288.0,7148.5,-1.91,1.48,-0.43,-3.63
2019-12-22 00:00:00+00:00,7186.5,7140.0,-0.65,-1.01,-1.66,-4.64
2019-12-24 00:00:00+00:00,7509.5,7312.0,-2.63,1.81,-0.82,-2.83
2019-12-25 00:00:00+00:00,7312.0,7249.0,-0.86,1.8,0.94,-1.03
2019-12-26 00:00:00+00:00,7249.0,7194.5,-0.75,-1.49,-2.24,-2.52
2019-12-27 00:00:00+00:00,7194.5,7190.0,-0.06,1.51,1.45,-1.01
